experiment,sequence,status,reused,runtime_sec,jm,jr,psnr,ssim,mask_pairs_used,frame_pairs_used,output_dir,output_video,log_path,error
sam2_diffueraser,elephant,ok,False,98.294,0.9639548172817861,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/elephant,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/elephant/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/elephant.log,
sam2_diffueraser,flamingo,ok,False,109.52,0.5516881234629122,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/flamingo,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/flamingo/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/flamingo.log,
sam2_diffueraser,goat,ok,False,92.174,0.4245388534800571,0.4666666666666667,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/goat,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/goat/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/goat.log,
sam2_diffueraser,hike,ok,False,114.478,0.9579668812987112,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/hike,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/hike/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/hike.log,
sam2_diffueraser,hockey,ok,False,88.322,0.8414432134724616,1.0,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/hockey,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/hockey/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/hockey.log,
sam2_diffueraser,horsejump-high,ok,False,88.022,0.9034976100320568,1.0,,,50,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/horsejump-high,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/horsejump-high/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/horsejump-high.log,
sam2_diffueraser,horsejump-low,ok,False,94.186,0.8571718837025396,1.0,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/horsejump-low,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/horsejump-low/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/horsejump-low.log,
sam2_diffueraser,kite-surf,failed,False,3.51,,,,,,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/kite-surf,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/kite-surf.log,"Traceback (most recent call last):
  File ""/tmp/AIAA3201_project-main/tools/sam2_auto_mask.py"", line 587, in <module>
    main()
  File ""/tmp/AIAA3201_project-main/tools/sam2_auto_mask.py"", line 434, in main
    target_ids = parse_target_classes(args.target_classes)
  File ""/tmp/AIAA3201_project-main/tools/sam2_auto_mask.py"", line 80, in parse_target_classes
    raise ValueError(f""Unknown class token '{raw}'. Known names: {known}"")
ValueError: Unknown class token 'kite'. Known names: airplane, bear, bicycle, bird, boat, bus, car, cat, cow, dog, elephant, giraffe, horse, motorbike, motorcycle, person, sheep, skateboard, sports ball, sports_ball, surfboard, tennis racket, tennis_racket, train, truck, zebra
Traceback (most recent call last):
  File ""/home/user/AIAA3201_project/part2_pipeline.py"", line 673, in <module>
    main()
  File ""/home/user/AIAA3201_project/part2_pipeline.py"", line 590, in main
    run_external_command(cmd, base_values)
  File ""/home/user/AIAA3201_project/part2_pipeline.py"", line 143, in run_external_command
    raise RuntimeError(f""External command failed with code {proc.returncode}: {cmd}"")
RuntimeError: External command failed with code 1: ""/home/user/.conda/envs/aiaa3201/bin/python"" ""/tmp/AIAA3201_project-main/tools/sam2_auto_mask.py"" --input-video ""/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/videos_480p/kite-surf.mp4"" --mask-dir ""/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/kite-surf/masks"" --device ""cuda:0"" --conf 0.35 --target-classes ""person,kite,surfboard"" --prompt-interval 18 --max-prompt-frames 18 --max-objs-per-prompt-frame 2 --min-box-area-ratio 0.0006 --max-box-area-ratio 0.75 --nms-iou 0.6 --mask-dilate 0 --mask-close 3 --mask-open 0 --min-mask-area 80 --yolo-fallback --fallback-min-area 80"
sam2_diffueraser,kite-walk,failed,False,4.917,,,,,,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/kite-walk,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/kite-walk.log,"Traceback (most recent call last):
  File ""/tmp/AIAA3201_project-main/tools/sam2_auto_mask.py"", line 587, in <module>
    main()
  File ""/tmp/AIAA3201_project-main/tools/sam2_auto_mask.py"", line 434, in main
    target_ids = parse_target_classes(args.target_classes)
  File ""/tmp/AIAA3201_project-main/tools/sam2_auto_mask.py"", line 80, in parse_target_classes
    raise ValueError(f""Unknown class token '{raw}'. Known names: {known}"")
ValueError: Unknown class token 'kite'. Known names: airplane, bear, bicycle, bird, boat, bus, car, cat, cow, dog, elephant, giraffe, horse, motorbike, motorcycle, person, sheep, skateboard, sports ball, sports_ball, surfboard, tennis racket, tennis_racket, train, truck, zebra
Traceback (most recent call last):
  File ""/home/user/AIAA3201_project/part2_pipeline.py"", line 673, in <module>
    main()
  File ""/home/user/AIAA3201_project/part2_pipeline.py"", line 590, in main
    run_external_command(cmd, base_values)
  File ""/home/user/AIAA3201_project/part2_pipeline.py"", line 143, in run_external_command
    raise RuntimeError(f""External command failed with code {proc.returncode}: {cmd}"")
RuntimeError: External command failed with code 1: ""/home/user/.conda/envs/aiaa3201/bin/python"" ""/tmp/AIAA3201_project-main/tools/sam2_auto_mask.py"" --input-video ""/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/videos_480p/kite-walk.mp4"" --mask-dir ""/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/kite-walk/masks"" --device ""cuda:0"" --conf 0.35 --target-classes ""person,kite"" --prompt-interval 18 --max-prompt-frames 18 --max-objs-per-prompt-frame 2 --min-box-area-ratio 0.0006 --max-box-area-ratio 0.75 --nms-iou 0.6 --mask-dilate 0 --mask-close 3 --mask-open 0 --min-mask-area 80 --yolo-fallback --fallback-min-area 80"
sam2_diffueraser,libby,ok,False,56.836,0.0047226569142531805,0.0,,,49,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/libby,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/libby/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/libby.log,
sam2_diffueraser,lucia,ok,False,88.739,0.9220225695233468,1.0,,,70,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/lucia,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/lucia/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/lucia.log,
sam2_diffueraser,mallard-fly,ok,False,83.759,0.8910010829440755,1.0,,,70,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/mallard-fly,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/mallard-fly/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/mallard-fly.log,
sam2_diffueraser,mallard-water,ok,False,98.549,0.9454316777798925,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/mallard-water,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/mallard-water/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/mallard-water.log,
sam2_diffueraser,motocross-bumps,ok,False,87.358,0.9467344084267867,1.0,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/motocross-bumps,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/motocross-bumps/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/motocross-bumps.log,
sam2_diffueraser,motocross-jump,ok,False,55.902,0.9289003843861551,1.0,,,40,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/motocross-jump,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/motocross-jump/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/motocross-jump.log,
sam2_diffueraser,motorbike,ok,False,57.84,0.780110425136079,1.0,,,43,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/motorbike,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/motorbike/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/motorbike.log,
sam2_diffueraser,paragliding,ok,False,71.97,0.02639203242416989,0.0,,,70,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/paragliding,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/paragliding/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/paragliding.log,
