experiment,sequence,status,reused,runtime_sec,jm,jr,psnr,ssim,mask_pairs_used,frame_pairs_used,output_dir,output_video,log_path,error
sam3_propainter,motorbike,ok,False,106.051,0.9147375054003346,1.0,,,43,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/motorbike,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/motorbike/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/motorbike.log,
sam3_propainter,paragliding,ok,False,44.18,0.035110609985528875,0.0,,,70,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/paragliding,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/paragliding/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/paragliding.log,
sam3_propainter,paragliding-launch,ok,False,101.855,0.5808283028233113,0.65,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/paragliding-launch,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/paragliding-launch/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/paragliding-launch.log,
sam3_propainter,parkour,ok,False,125.318,0.9619068941264198,1.0,,,100,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/parkour,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/parkour/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/parkour.log,
sam3_propainter,rhino,ok,False,79.482,0.3695104467870659,0.4222222222222222,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/rhino,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/rhino/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/rhino.log,
sam3_propainter,rollerblade,ok,False,64.734,0.9389724074868742,1.0,,,35,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/rollerblade,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/rollerblade/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/rollerblade.log,
sam3_propainter,scooter-black,ok,False,171.0,0.42847058759476675,0.4418604651162791,,,43,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/scooter-black,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/scooter-black/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/scooter-black.log,
sam3_propainter,scooter-gray,ok,False,198.732,0.7987150232018732,0.92,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/scooter-gray,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/scooter-gray/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/scooter-gray.log,
sam3_propainter,soapbox,ok,False,53.289,0.0,0.0,,,99,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/soapbox,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/soapbox/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/soapbox.log,
sam3_propainter,soccerball,ok,False,45.95,0.5895245660573994,0.6666666666666666,,,48,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/soccerball,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/soccerball/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/soccerball.log,
sam3_propainter,stroller,ok,False,123.687,0.47715916494428623,0.13186813186813187,,,91,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/stroller,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/stroller/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/stroller.log,
sam3_propainter,surf,ok,False,37.989,0.035092206216431124,0.03636363636363636,,,55,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/surf,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/surf/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/surf.log,
sam3_propainter,swing,ok,False,90.723,0.814799172728014,1.0,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/swing,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/swing/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/swing.log,
sam3_propainter,tennis,ok,False,69.143,0.8768145849916014,1.0,,,70,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/tennis,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/tennis/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/tennis.log,
sam3_propainter,train,ok,False,175.924,0.946193748542794,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/train,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/train/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/train.log,
